Designator,Comment,Footprint,MidX,MidY,Rotation,Layer
"C62","100n,10%,50V","C_0402_1005Metric_for_0.25mm_grid",136.500000,19.250000,0.000000,top
"C63","1u,10%,25V","C_0402_1005Metric_for_0.25mm_grid",137.500000,48.000000,90.000000,top
"C64","1u,10%,25V","C_0402_1005Metric_for_0.25mm_grid",132.500000,47.500000,90.000000,top
"C101","10u,10%,50V","C_0805_2012Metric",67.000000,41.250000,-90.000000,top
"C137","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",65.500000,41.300000,-90.000000,top
"C140","10n,10%,10V","C_0402_1005Metric_for_0.25mm_grid",64.500000,41.300000,-90.000000,top
"D1","3.3V,15p","D_SOD-923",119.250000,7.500000,180.000000,top
"D2","3.3V,15p","D_SOD-923",124.250000,7.500000,180.000000,top
"D3","3.3V,15p","D_SOD-923",126.750000,7.500000,180.000000,top
"D4","3.3V,15p","D_SOD-923",129.250000,7.500000,180.000000,top
"D5","3.3V,15p","D_SOD-923",131.750000,7.500000,180.000000,top
"D6","3.3V,15p","D_SOD-923",138.500000,16.000000,-90.000000,top
"D7","3.3V,15p","D_SOD-923",138.500000,14.500000,90.000000,top
"D8","3.3V,15p","D_SOD-923",138.500000,17.750000,-90.000000,top
"D9","3.3V,15p","D_SOD-923",140.250000,40.250000,90.000000,top
"D10","3.3V,15p","D_SOD-923",139.250000,39.750000,-90.000000,top
"FB1","600R@100MHz","L_0805_2012Metric",60.000000,27.500000,0.000000,top
"J1","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",46.200000,63.725000,90.000000,top
"J2","Conn_Coaxial_Small","SMA_Amphenol_901-144_Vertical",10.000000,40.000000,0.000000,top
"J3","USB_C_U262-161N-4BVC11","USB_C_Receptacle_XKB_U262-16XN-4BVC11",146.000000,40.000000,90.000000,top
"J4","Conn_02x14_Odd_Even","PinHeader_2x14_P2.54mm_Vertical",80.000000,57.500000,0.000000,top
"J5","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",116.125000,5.000000,90.000000,top
"J6","USB_C_U262-161N-4BVC11","USB_C_Receptacle_XKB_U262-16XN-4BVC11",146.000000,15.000000,90.000000,top
"J7","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",89.925000,5.000000,90.000000,top
"J8","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",90.000000,25.000000,180.000000,top
"L1","2.2uH,20%,3A","L_1008_2520Metric",127.250000,38.250000,90.000000,top
"R1","0R,1%","R_0402_1005Metric_for_0.25mm_grid",114.500000,72.000000,90.000000,top
"R2","33R,1%","R_0402_1005Metric_for_0.25mm_grid",109.750000,58.750000,-90.000000,top
"R3","33R,1%","R_0402_1005Metric_for_0.25mm_grid",107.750000,58.750000,-90.000000,top
"R4","33R,1%","R_0402_1005Metric_for_0.25mm_grid",114.000000,58.750000,-90.000000,top
"R5","33R,1%","R_0402_1005Metric_for_0.25mm_grid",111.750000,58.750000,-90.000000,top
"R6","33R,1%","R_0402_1005Metric_for_0.25mm_grid",113.000000,58.750000,-90.000000,top
"R7","33R,1%","R_0402_1005Metric_for_0.25mm_grid",110.750000,58.750000,-90.000000,top
"R8","33R,1%","R_0402_1005Metric_for_0.25mm_grid",108.750000,58.750000,-90.000000,top
"R9","33R,1%","R_0402_1005Metric_for_0.25mm_grid",106.750000,58.750000,-90.000000,top
"R10","0R,1%","R_0402_1005Metric_for_0.25mm_grid",118.250000,58.750000,-90.000000,top
"R11","0R,1%","R_0402_1005Metric_for_0.25mm_grid",105.750000,58.750000,90.000000,top
"R12","33R,1%","R_0402_1005Metric_for_0.25mm_grid",117.250000,58.750000,90.000000,top
"R13","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,47.500000,0.000000,top
"R14","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,46.500000,0.000000,top
"R15","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,45.500000,0.000000,top
"R16","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,44.500000,0.000000,top
"R17","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,43.500000,0.000000,top
"R18","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,39.000000,0.000000,top
"R19","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,38.000000,0.000000,top
"R20","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,37.000000,0.000000,top
"R21","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,36.000000,0.000000,top
"R22","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,35.000000,0.000000,top
"R23","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,34.000000,0.000000,top
"R24","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,33.000000,0.000000,top
"R25","100R,1%","R_0402_1005Metric_for_0.25mm_grid",67.000000,32.000000,0.000000,top
"R26","22R,1%","R_0402_1005Metric_for_0.25mm_grid",119.250000,8.500000,180.000000,top
"R27","1k,1%","R_0402_1005Metric_for_0.25mm_grid",58.500000,46.250000,90.000000,top
"R28","1k,1%","R_0402_1005Metric_for_0.25mm_grid",57.500000,32.500000,-90.000000,top
"R29","1k,1%","R_0402_1005Metric_for_0.25mm_grid",47.500000,70.000000,180.000000,top
"R30","1k,1%","R_0402_1005Metric_for_0.25mm_grid",50.000000,70.000000,180.000000,top
